name, Alcohol_LitersPerCap,region
Cook Islands,12.97,Australia and Oceania
Latvia,12.9,Europe
Czechia,12.73,Europe
Lithuania,11.93,Europe
Austria,11.9,Europe
Antigua and Barbuda,11.88,Central America and the Caribbean
Estonia,11.65,Europe
France,11.44,Europe
Bulgaria,11.18,Europe
Slovenia,11.05,Europe
Luxembourg,11,Europe
Andorra,10.99,Europe
Poland,10.96,Europe
Romania,10.96,Europe
Ireland,10.91,Europe
Hungary,10.79,Europe
Spain,10.72,Europe
Belarus,10.57,Europe
Germany,10.56,Europe
Portugal,10.37,Europe
Slovakia,10.3,Europe
Barbados,9.94,Central America and the Caribbean
Montenegro,9.91,Europe
United Kingdom,9.8,Europe
Croatia,9.64,Europe
Cyprus,9.59,Europe
Australia,9.51,Australia and Oceania
Seychelles,9.48,Africa
"Bahamas, The",9.48,Central America and the Caribbean
Switzerland,9.41,Europe
Saint Lucia,9.3,Central America and the Caribbean
New Zealand,9.17,Australia and Oceania
Denmark,9.16,Europe
Belgium,9.15,Europe
United States,8.93,North America
Saint Kitts and Nevis,8.84,Central America and the Caribbean
Grenada,8.62,Central America and the Caribbean
Niue,8.5,Australia and Oceania
Japan,8.36,East and Southeast Asia
Netherlands,8.23,Europe
Finland,8.23,Europe
Laos,8.15,East and Southeast Asia
Malta,8.07,Europe
Canada,8,North America
Argentina,7.95,South America
Tanzania,7.81,Africa
Chile,7.8,South America
"Korea, South",7.74,East and Southeast Asia
Iceland,7.72,Europe
Eswatini,7.68,Africa
Italy,7.65,Europe
Saint Vincent and the Grenadines,7.48,Central America and the Caribbean
Georgia,7.45,Middle East
Moldova,7.45,Europe
Serbia,7.45,Europe
Russia,7.29,Central Asia
Burkina Faso,7.28,Africa
South Africa,7.21,Africa
Sweden,7.1,Europe
Thailand,6.86,East and Southeast Asia
Uganda,6.82,Africa
Suriname,6.6,South America
Panama,6.54,Central America and the Caribbean
Gabon,6.47,Africa
Rwanda,6.35,Africa
Greece,6.33,Europe
Dominica,6.32,Central America and the Caribbean
Brazil,6.12,South America
Equatorial Guinea,6.11,Africa
Norway,6.05,Europe
Botswana,5.98,Africa
Belize,5.93,Central America and the Caribbean
Angola,5.84,Africa
Trinidad and Tobago,5.81,Central America and the Caribbean
"Congo, Republic of the",5.74,Africa
Peru,5.74,South America
Ukraine,5.69,Europe
Dominican Republic,5.56,Central America and the Caribbean
Paraguay,5.47,South America
Mongolia,5.46,East and Southeast Asia
Bosnia and Herzegovina,5.46,Europe
Uruguay,5.42,South America
Guyana,5.11,South America
Philippines,4.85,East and Southeast Asia
Cuba,4.7,Central America and the Caribbean
Cabo Verde,4.7,Africa
Cambodia,4.56,East and Southeast Asia
Nigeria,4.49,Africa
China,4.48,East and Southeast Asia
Albania,4.4,Europe
Mexico,4.25,North America
Sao Tome and Principe,4.23,Africa
Colombia,4.09,South America
Cameroon,4.09,Africa
Burundi,4.07,Africa
Kyrgyzstan,4.02,Central Asia
North Macedonia,3.9,Europe
Zambia,3.82,Africa
Armenia,3.77,Middle East
Kazakhstan,3.73,Central Asia
Nicaragua,3.69,Central America and the Caribbean
"Korea, North",3.61,East and Southeast Asia
Lesotho,3.56,Africa
Jamaica,3.46,Central America and the Caribbean
Vietnam,3.41,East and Southeast Asia
Mauritius,3.39,Africa
Sierra Leone,3.22,Africa
Guinea-Bissau,3.21,Africa
Liberia,3.12,Africa
Zimbabwe,3.11,Africa
India,3.09,South Asia
Israel,3.07,Middle East
Costa Rica,3.07,Central America and the Caribbean
Ecuador,3.05,South America
Bolivia,2.98,South America
El Salvador,2.94,Central America and the Caribbean
Turkmenistan,2.88,Central Asia
Haiti,2.85,Central America and the Caribbean
Honduras,2.73,Central America and the Caribbean
Fiji,2.71,Australia and Oceania
"Gambia, The",2.67,Africa
Sri Lanka,2.58,South Asia
Venezuela,2.51,South America
Uzbekistan,2.45,Central Asia
Nauru,2.44,Australia and Oceania
Namibia,2.38,Africa
Samoa,2.18,Australia and Oceania
Burma,2.06,East and Southeast Asia
Malawi,2.04,Africa
United Arab Emirates,2.03,Middle East
Sudan,1.93,Africa
Singapore,1.81,East and Southeast Asia
Cote d'Ivoire,1.7,Africa
Kenya,1.68,Africa
Guatemala,1.63,Central America and the Caribbean
Vanuatu,1.6,Australia and Oceania
Ghana,1.59,Africa
"Micronesia, Federated States of",1.59,Australia and Oceania
Tunisia,1.51,Africa
Mozambique,1.46,Africa
Togo,1.4,Africa
Maldives,1.38,South Asia
Azerbaijan,1.38,Middle East
Papua New Guinea,1.26,East and Southeast Asia
Benin,1.25,Africa
Solomon Islands,1.19,Australia and Oceania
Turkey (Turkiye),1.18,Middle East
Bahrain,1.18,Middle East
Ethiopia,1.16,Africa
Lebanon,1.14,Middle East
Qatar,0.96,Middle East
Central African Republic,0.94,Africa
Eritrea,0.93,Africa
Tuvalu,0.93,Australia and Oceania
Madagascar,0.89,Africa
Tajikistan,0.85,Central Asia
Brunei,0.69,East and Southeast Asia
Malaysia,0.64,East and Southeast Asia
Mali,0.6,Africa
Algeria,0.59,Africa
"Congo, Democratic Republic of the",0.56,Africa
Chad,0.55,Africa
Morocco,0.51,Africa
Oman,0.47,Middle East
Kiribati,0.43,Australia and Oceania
Timor-Leste,0.41,East and Southeast Asia
Nepal,0.36,South Asia
Guinea,0.33,Africa
Tonga,0.31,Australia and Oceania
Senegal,0.25,Africa
Jordan,0.25,Middle East
Djibouti,0.21,Africa
Comoros,0.18,Africa
Iraq,0.16,Middle East
Egypt,0.14,Africa
Syria,0.13,Middle East
Niger,0.11,Africa
Indonesia,0.08,East and Southeast Asia
Bhutan,0.07,South Asia
Pakistan,0.04,South Asia
Iran,0.02,Middle East
Yemen,0.02,Middle East
Afghanistan,0.01,South Asia
Libya,0.01,Africa
Saudi Arabia,0,Middle East
Mauritania,0,Africa
Bangladesh,0,South Asia
Somalia,0,Africa
Kuwait,0,Middle East