name,obesityAdults_rate,region
Nauru,61,Australia and Oceania
Cook Islands,55.9,Australia and Oceania
Palau,55.3,Australia and Oceania
Marshall Islands,52.9,Australia and Oceania
Tuvalu,51.6,Australia and Oceania
Niue,50,Australia and Oceania
Tonga,48.2,Australia and Oceania
Samoa,47.3,Australia and Oceania
Kiribati,46,Australia and Oceania
"Micronesia, Federated States of",45.8,Australia and Oceania
Kuwait,37.9,Middle East
United States,36.2,North America
Jordan,35.5,Middle East
Saudi Arabia,35.4,Middle East
Qatar,35.1,Middle East
Libya,32.5,Africa
Turkey (Turkiye),32.1,Middle East
Lebanon,32,Middle East
Egypt,32,Africa
United Arab Emirates,31.7,Middle East
"Bahamas, The",31.6,Central America and the Caribbean
New Zealand,30.8,Australia and Oceania
Iraq,30.4,Middle East
Fiji,30.2,Australia and Oceania
Bahrain,29.8,Middle East
Canada,29.4,North America
Australia,29,Australia and Oceania
Mexico,28.9,North America
Malta,28.9,Europe
South Africa,28.3,Africa
Argentina,28.3,South America
Chile,28,South America
Uruguay,27.9,South America
Dominica,27.9,Central America and the Caribbean
Syria,27.8,Middle East
United Kingdom,27.8,Europe
Dominican Republic,27.6,Central America and the Caribbean
Algeria,27.4,Africa
Oman,27,Middle East
Tunisia,26.9,Africa
Suriname,26.4,South America
Hungary,26.4,Europe
Lithuania,26.3,Europe
Morocco,26.1,Africa
Israel,26.1,Middle East
Czechia,26,Europe
Iran,25.8,Middle East
Costa Rica,25.7,Central America and the Caribbean
Venezuela,25.6,South America
Andorra,25.6,Europe
Ireland,25.3,Europe
Vanuatu,25.2,Australia and Oceania
Bulgaria,25,Europe
Greece,24.9,Europe
Jamaica,24.7,Central America and the Caribbean
Cuba,24.6,Central America and the Caribbean
El Salvador,24.6,Central America and the Caribbean
Belarus,24.5,Europe
Croatia,24.4,Europe
Belize,24.1,Central America and the Caribbean
Ukraine,24.1,Europe
Spain,23.8,Europe
Nicaragua,23.7,Central America and the Caribbean
Saint Vincent and the Grenadines,23.7,Central America and the Caribbean
Latvia,23.6,Europe
Montenegro,23.3,Europe
Norway,23.1,Europe
Poland,23.1,Europe
Barbados,23.1,Central America and the Caribbean
Russia,23.1,Central Asia
Saint Kitts and Nevis,22.9,Central America and the Caribbean
Haiti,22.7,Central America and the Caribbean
Panama,22.7,Central America and the Caribbean
Luxembourg,22.6,Europe
Solomon Islands,22.5,Australia and Oceania
Romania,22.5,Europe
North Macedonia,22.4,Europe
Colombia,22.3,South America
Germany,22.3,Europe
Finland,22.2,Europe
Brazil,22.1,South America
Belgium,22.1,Europe
Iceland,21.9,Europe
Cyprus,21.8,Europe
Georgia,21.7,Middle East
Albania,21.7,Europe
France,21.6,Europe
Serbia,21.5,Europe
Honduras,21.4,Central America and the Caribbean
Papua New Guinea,21.3,East and Southeast Asia
Grenada,21.3,Central America and the Caribbean
Guatemala,21.2,Central America and the Caribbean
Estonia,21.2,Europe
Kazakhstan,21,Central Asia
Portugal,20.8,Europe
Sweden,20.6,Europe
Mongolia,20.6,East and Southeast Asia
Slovakia,20.5,Europe
Netherlands,20.4,Europe
Paraguay,20.3,South America
Armenia,20.2,Middle East
Guyana,20.2,South America
Bolivia,20.2,South America
Slovenia,20.2,Europe
Austria,20.1,Europe
Ecuador,19.9,South America
Azerbaijan,19.9,Middle East
Italy,19.9,Europe
Denmark,19.7,Europe
Peru,19.7,South America
Saint Lucia,19.7,Central America and the Caribbean
Switzerland,19.5,Europe
Moldova,18.9,Europe
Botswana,18.9,Africa
Antigua and Barbuda,18.9,Central America and the Caribbean
Turkmenistan,18.6,Central Asia
Trinidad and Tobago,18.6,Central America and the Caribbean
Bosnia and Herzegovina,17.9,Europe
Namibia,17.2,Africa
Yemen,17.1,Middle East
Lesotho,16.6,Africa
Kyrgyzstan,16.6,Central Asia
Uzbekistan,16.6,Central Asia
Eswatini,16.5,Africa
Malaysia,15.6,East and Southeast Asia
Zimbabwe,15.5,Africa
Gabon,15,Africa
Tajikistan,14.2,Central Asia
Brunei,14.1,East and Southeast Asia
Seychelles,14,Africa
Djibouti,13.5,Africa
Mauritania,12.7,Africa
Sao Tome and Principe,12.4,Africa
Cabo Verde,11.8,Africa
Cameroon,11.4,Africa
Ghana,10.9,Africa
Mauritius,10.8,Africa
"Gambia, The",10.3,Africa
Cote d'Ivoire,10.3,Africa
Thailand,10,East and Southeast Asia
Liberia,9.9,Africa
Benin,9.6,Africa
"Congo, Republic of the",9.6,Africa
Guinea-Bissau,9.5,Africa
Nigeria,8.9,Africa
Senegal,8.8,Africa
Sierra Leone,8.7,Africa
Pakistan,8.6,South Asia
Maldives,8.6,South Asia
Mali,8.6,Africa
Togo,8.4,Africa
Tanzania,8.4,Africa
Somalia,8.3,Africa
Angola,8.2,Africa
Zambia,8.1,Africa
Equatorial Guinea,8,Africa
Comoros,7.8,Africa
Guinea,7.7,Africa
Central African Republic,7.5,Africa
Mozambique,7.2,Africa
Kenya,7.1,Africa
Indonesia,6.9,East and Southeast Asia
"Korea, North",6.8,East and Southeast Asia
"Congo, Democratic Republic of the",6.7,Africa
Sudan,6.6,Africa
South Sudan,6.6,Africa
Philippines,6.4,East and Southeast Asia
Bhutan,6.4,South Asia
China,6.2,East and Southeast Asia
Singapore,6.1,East and Southeast Asia
Chad,6.1,Africa
Rwanda,5.8,Africa
Burma,5.8,East and Southeast Asia
Malawi,5.8,Africa
Burkina Faso,5.6,Africa
Niger,5.5,Africa
Afghanistan,5.5,South Asia
Burundi,5.4,Africa
Laos,5.3,East and Southeast Asia
Uganda,5.3,Africa
Madagascar,5.3,Africa
Sri Lanka,5.2,South Asia
Eritrea,5,Africa
"Korea, South",4.7,East and Southeast Asia
Ethiopia,4.5,Africa
Japan,4.3,East and Southeast Asia
Nepal,4.1,South Asia
Cambodia,3.9,East and Southeast Asia
India,3.9,South Asia
Timor-Leste,3.8,East and Southeast Asia
Bangladesh,3.6,South Asia
Vietnam,2.1,East and Southeast Asia