name,Population_total,region
China,"1,416,043,270",East and Southeast Asia
India,"1,409,128,296",South Asia
United States,"341,963,408",North America
Indonesia,"281,562,465",East and Southeast Asia
Pakistan,"252,363,571",South Asia
Nigeria,"236,747,130",Africa
Brazil,"220,051,512",South America
Bangladesh,"168,697,184",South Asia
Russia,"140,820,810",Central Asia
Mexico,"130,739,927",North America
Japan,"123,201,945",East and Southeast Asia
Ethiopia,"118,550,298",Africa
Philippines,"118,277,063",East and Southeast Asia
"Congo, Democratic Republic of the","115,403,027",Africa
Egypt,"111,247,248",Africa
Vietnam,"105,758,975",East and Southeast Asia
Iran,"88,386,937",Middle East
Turkey (Turkiye),"84,119,531",Middle East
Germany,"84,119,100",Europe
Thailand,"69,920,998",East and Southeast Asia
United Kingdom,"68,459,055",Europe
France,"68,374,591",Europe
Tanzania,"67,462,121",Africa
Italy,"60,964,931",Europe
South Africa,"60,442,647",Africa
Kenya,"58,246,378",Africa
Burma,"57,527,139",East and Southeast Asia
"Korea, South","52,081,799",East and Southeast Asia
Sudan,"50,467,278",Africa
Colombia,"49,588,357",South America
Uganda,"49,283,041",Africa
Spain,"47,280,433",Europe
Algeria,"47,022,473",Africa
Argentina,"46,994,384",South America
Iraq,"42,083,436",Middle East
Afghanistan,"40,121,552",South Asia
Canada,"38,794,813",North America
Poland,"38,746,310",Europe
Morocco,"37,387,585",Africa
Angola,"37,202,061",Africa
Saudi Arabia,"36,544,431",Middle East
Uzbekistan,"36,520,593",Central Asia
Ukraine,"35,661,826",Europe
Ghana,"34,589,092",Africa
Malaysia,"34,564,810",East and Southeast Asia
Mozambique,"33,350,954",Africa
Peru,"32,600,249",South America
Yemen,"32,140,443",Middle East
Venezuela,"31,250,306",South America
Nepal,"31,122,387",South Asia
Cameroon,"30,966,105",Africa
Cote d'Ivoire,"29,981,758",Africa
Madagascar,"29,452,714",Africa
Australia,"26,768,598",Australia and Oceania
Niger,"26,342,784",Africa
"Korea, North","26,298,666",East and Southeast Asia
Syria,"23,865,423",Middle East
Taiwan,"23,595,274",East and Southeast Asia
Burkina Faso,"23,042,199",Africa
Mali,"21,990,607",Africa
Sri Lanka,"21,982,608",South Asia
Malawi,"21,763,309",Africa
Zambia,"20,799,116",Africa
Kazakhstan,"20,260,006",Central Asia
Chad,"19,093,595",Africa
Senegal,"18,847,519",Africa
Chile,"18,664,652",South America
Ecuador,"18,309,984",South America
Guatemala,"18,255,216",Central America and the Caribbean
Romania,"18,148,155",Europe
Netherlands,"17,772,378",Europe
Zimbabwe,"17,150,352",Africa
Cambodia,"17,063,669",East and Southeast Asia
Benin,"14,697,052",Africa
Guinea,"13,986,179",Africa
Rwanda,"13,623,302",Africa
Burundi,"13,590,102",Africa
Somalia,"13,017,273",Africa
South Sudan,"12,703,714",Africa
Bolivia,"12,311,974",South America
Tunisia,"12,048,847",Africa
Belgium,"11,977,634",Europe
Haiti,"11,753,943",Central America and the Caribbean
Jordan,"11,174,024",Middle East
Cuba,"10,966,038",Central America and the Caribbean
Czechia,"10,837,890",Europe
Dominican Republic,"10,815,857",Central America and the Caribbean
Azerbaijan,"10,650,239",Middle East
Sweden,"10,589,835",Europe
Greece,"10,461,091",Europe
Tajikistan,"10,394,063",Central Asia
Portugal,"10,207,177",Europe
Papua New Guinea,"10,046,233",East and Southeast Asia
United Arab Emirates,"10,032,213",Middle East
Hungary,"9,855,745",Europe
Honduras,"9,529,188",Central America and the Caribbean
Belarus,"9,501,451",Europe
Israel,"9,402,617",Middle East
Sierra Leone,"9,121,049",Africa
Austria,"8,967,982",Europe
Togo,"8,917,994",Africa
Switzerland,"8,860,574",Europe
Laos,"7,953,556",East and Southeast Asia
Paraguay,"7,522,549",South America
Libya,"7,361,263",Africa
Hong Kong,"7,297,821",East and Southeast Asia
Bulgaria,"6,782,659",Europe
Nicaragua,"6,676,948",Central America and the Caribbean
Serbia,"6,652,212",Europe
El Salvador,"6,628,702",Central America and the Caribbean
Eritrea,"6,343,956",Africa
Kyrgyzstan,"6,172,101",Central Asia
"Congo, Republic of the","6,097,665",Africa
Singapore,"6,028,459",East and Southeast Asia
Denmark,"5,973,136",Europe
Turkmenistan,"5,744,151",Central Asia
Central African Republic,"5,650,957",Africa
Finland,"5,626,414",Europe
Slovakia,"5,563,649",Europe
Norway,"5,509,733",Europe
Liberia,"5,437,249",Africa
Lebanon,"5,364,482",Middle East
Costa Rica,"5,265,575",Central America and the Caribbean
Ireland,"5,233,461",Europe
New Zealand,"5,161,211",Australia and Oceania
Georgia,"4,900,961",Middle East
Panama,"4,470,241",Central America and the Caribbean
Mauritania,"4,328,040",Africa
Croatia,"4,150,116",Europe
Oman,"3,901,992",Middle East
Bosnia and Herzegovina,"3,798,671",Europe
Moldova,"3,599,528",Europe
Uruguay,"3,425,330",South America
Mongolia,"3,281,676",East and Southeast Asia
West Bank,"3,243,369",Middle East
Kuwait,"3,138,355",Middle East
Albania,"3,107,100",Europe
Puerto Rico,"3,019,450",Central America and the Caribbean
Armenia,"2,976,765",Middle East
Jamaica,"2,823,713",Central America and the Caribbean
Namibia,"2,803,660",Africa
Lithuania,"2,628,186",Europe
Qatar,"2,552,088",Middle East
"Gambia, The","2,523,327",Africa
Gabon,"2,455,105",Africa
Botswana,"2,450,668",Africa
Lesotho,"2,227,548",Africa
Gaza Strip,"2,141,643",Middle East
North Macedonia,"2,135,622",Europe
Guinea-Bissau,"2,132,325",Africa
Slovenia,"2,097,893",Europe
Kosovo,"1,977,093",Europe
Latvia,"1,801,246",Europe
Equatorial Guinea,"1,795,834",Africa
Bahrain,"1,566,888",Middle East
Timor-Leste,"1,506,909",East and Southeast Asia
Trinidad and Tobago,"1,408,966",Central America and the Caribbean
Cyprus,"1,320,525",Europe
Mauritius,"1,310,504",Africa
Estonia,"1,193,791",Europe
Eswatini,"1,138,089",Africa
Djibouti,"994,974",Africa
Fiji,"951,611",Australia and Oceania
Comoros,"900,141",Africa
Bhutan,"884,546",South Asia
Guyana,"794,099",South America
Solomon Islands,"726,799",Australia and Oceania
Luxembourg,"671,254",Europe
Suriname,"646,758",South America
Macau,"644,426",East and Southeast Asia
Cabo Verde,"611,014",Africa
Montenegro,"599,849",Europe
Brunei,"491,900",East and Southeast Asia
Malta,"469,730",Europe
Belize,"415,789",Central America and the Caribbean
"Bahamas, The","410,862",Central America and the Caribbean
Maldives,"388,858",South Asia
Iceland,"364,036",Europe
Vanuatu,"318,007",Australia and Oceania
New Caledonia,"304,167",Australia and Oceania
Barbados,"304,139",Central America and the Caribbean
French Polynesia,"303,540",Australia and Oceania
Sao Tome and Principe,"223,561",Africa
Samoa,"208,853",Australia and Oceania
Guam,"169,532",Australia and Oceania
Saint Lucia,"168,038",Central America and the Caribbean
Curacao,"153,289",Central America and the Caribbean
Aruba,"125,063",Central America and the Caribbean
Kiribati,"116,545",Australia and Oceania
Grenada,"114,621",Central America and the Caribbean
Tonga,"104,889",Australia and Oceania
Virgin Islands,"104,377",Central America and the Caribbean
Jersey,"103,387",Europe
Antigua and Barbuda,"102,634",Central America and the Caribbean
Saint Vincent and the Grenadines,"100,647",Central America and the Caribbean
"Micronesia, Federated States of","99,603",Australia and Oceania
Seychelles,"98,187",Africa
Isle of Man,"92,269",Europe
Andorra,"85,370",Europe
Marshall Islands,"82,011",Australia and Oceania
Dominica,"74,661",Central America and the Caribbean
Bermuda,"72,800",North America
Guernsey,"67,787",Europe
Cayman Islands,"66,653",Central America and the Caribbean
Turks and Caicos Islands,"60,439",Central America and the Caribbean
Greenland,"57,751",North America
Saint Kitts and Nevis,"55,133",Central America and the Caribbean
Faroe Islands,"52,933",Europe
Northern Mariana Islands,"51,118",Australia and Oceania
Sint Maarten,"46,215",Central America and the Caribbean
American Samoa,"43,895",Australia and Oceania
Liechtenstein,"40,272",Europe
British Virgin Islands,"40,102",Central America and the Caribbean
San Marino,"35,095",Europe
Saint Martin,"32,996",Central America and the Caribbean
Monaco,"31,813",Europe
Gibraltar,"29,683",Europe
Palau,"21,864",Australia and Oceania
Anguilla,"19,416",Central America and the Caribbean
Wallis and Futuna,"15,964",Australia and Oceania
Tuvalu,"11,733",Australia and Oceania
Nauru,"9,892",Australia and Oceania
"Saint Helena, Ascension, and Tristan da Cunha","7,943",Africa
Cook Islands,"7,761",Australia and Oceania
Saint Barthelemy,"7,086",Central America and the Caribbean
Montserrat,"5,468",Central America and the Caribbean
Saint Pierre and Miquelon,"5,132",North America
Falkland Islands (Islas Malvinas),"3,662",South America
Svalbard,"2,926",Europe
Niue,"2,000",Australia and Oceania
Norfolk Island,"1,748",Australia and Oceania
Christmas Island,"1,692",Australia and Oceania
Tokelau,"1,647",Australia and Oceania
Paracel Islands,"1,440",East and Southeast Asia
Holy See (Vatican City),"1,000",Europe
Cocos (Keeling) Islands,593,Australia and Oceania
Pitcairn Islands,50,Australia and Oceania