name,TobaccoUse_perc,region
Nauru,48.5,Australia and Oceania
Burma,44.1,East and Southeast Asia
Kiribati,40.6,Australia and Oceania
Serbia,39.8,Europe
Papua New Guinea,39.3,East and Southeast Asia
Timor-Leste,39.2,East and Southeast Asia
Bulgaria,39,Europe
Lebanon,38.2,Middle East
Indonesia,37.6,East and Southeast Asia
Latvia,37,Europe
Croatia,36.9,Europe
Solomon Islands,36.5,Australia and Oceania
Tuvalu,35.6,Australia and Oceania
Cyprus,35.1,Europe
Bosnia and Herzegovina,35,Europe
Jordan,34.8,Middle East
Bangladesh,34.7,South Asia
Greece,33.5,Europe
France,33.4,Europe
Lithuania,32,Europe
Laos,31.8,East and Southeast Asia
Hungary,31.8,Europe
Andorra,31.8,Europe
Georgia,31.7,Middle East
Slovakia,31.5,Europe
Montenegro,31.4,Europe
Tonga,31,Australia and Oceania
Turkey (Turkiye),30.7,Middle East
Czechia,30.7,Europe
Belarus,30.5,Europe
Nepal,30.4,South Asia
Estonia,29.7,Europe
Mongolia,29.4,East and Southeast Asia
Chile,29.2,South America
Moldova,29,Europe
Marshall Islands,28.5,Australia and Oceania
Romania,28,Europe
Madagascar,27.8,Africa
Spain,27.7,Europe
India,27.2,South Asia
Russia,26.8,Central Asia
Austria,26.4,Europe
Ukraine,25.8,Europe
China,25.6,East and Southeast Asia
Armenia,25.5,Middle East
Switzerland,25.5,Europe
Portugal,25.4,Europe
Kyrgyzstan,25.4,Central Asia
Samoa,25.3,Australia and Oceania
Maldives,25.2,South Asia
Vietnam,24.8,East and Southeast Asia
Tunisia,24.6,Africa
Argentina,24.5,South America
Egypt,24.3,Africa
Lesotho,24.3,Africa
Malta,24,Europe
Sweden,24,Europe
Azerbaijan,24,Middle East
Poland,24,Europe
Cook Islands,24,Australia and Oceania
Belgium,23.4,Europe
Afghanistan,23.3,South Asia
Kazakhstan,23.2,Central Asia
Italy,23.1,Europe
Fiji,23.1,Australia and Oceania
United States,23,North America
Philippines,22.9,East and Southeast Asia
Malaysia,22.5,East and Southeast Asia
Albania,22.4,Europe
Netherlands,22.2,Europe
Thailand,22.1,East and Southeast Asia
Sri Lanka,22,South Asia
Slovenia,22,Europe
Germany,22,Europe
Finland,21.6,Europe
Uruguay,21.5,South America
Israel,21.2,Middle East
Luxembourg,21.1,Europe
Cambodia,21.1,East and Southeast Asia
Algeria,21,Africa
Ireland,20.8,Europe
"Korea, South",20.8,East and Southeast Asia
Comoros,20.3,Africa
South Africa,20.3,Africa
Yemen,20.3,Middle East
Pakistan,20.2,South Asia
Seychelles,20.2,Africa
Mauritius,20.2,Africa
Japan,20.1,East and Southeast Asia
Botswana,19.4,Africa
Iraq,18.5,Middle East
Cuba,17.9,Central America and the Caribbean
Kuwait,17.9,Middle East
Vanuatu,17.8,Australia and Oceania
Palau,17.6,Australia and Oceania
Uzbekistan,17.6,Central Asia
Denmark,17.5,Europe
"Korea, North",17.4,East and Southeast Asia
Singapore,16.5,East and Southeast Asia
Brunei,16.2,East and Southeast Asia
Norway,16.2,Europe
United Kingdom,15.4,Europe
Namibia,15.1,Africa
Bahrain,14.9,Middle East
"Congo, Republic of the",14.5,Africa
Morocco,14.5,Africa
Zambia,14.4,Africa
Burkina Faso,14.3,Africa
Mozambique,14.3,Africa
Saudi Arabia,14.3,Middle East
New Zealand,13.7,Australia and Oceania
Rwanda,13.7,Africa
Iran,13.6,Middle East
Australia,13.6,Australia and Oceania
Sierra Leone,13.5,Africa
Mexico,13.1,North America
Canada,13,North America
"Congo, Democratic Republic of the",12.8,Africa
Brazil,12.8,South America
Bolivia,12.7,South America
Guyana,12.1,South America
Iceland,12,Europe
Burundi,11.8,Africa
Qatar,11.8,Middle East
Zimbabwe,11.7,Africa
Paraguay,11.5,South America
Cabo Verde,11.4,Africa
Ecuador,11.3,South America
Kenya,11.1,Africa
"Gambia, The",11.1,Africa
Guatemala,10.9,Central America and the Caribbean
Malawi,10.8,Africa
Mauritania,10.7,Africa
"Bahamas, The",10.6,Central America and the Caribbean
Dominican Republic,10.6,Central America and the Caribbean
Cote d'Ivoire,9.4,Africa
Jamaica,9.4,Central America and the Caribbean
Eswatini,9.2,Africa
Guinea-Bissau,9,Africa
Costa Rica,8.8,Central America and the Caribbean
Tanzania,8.7,Africa
Belize,8.5,Central America and the Caribbean
Colombia,8.5,South America
Barbados,8.5,Central America and the Caribbean
Uganda,8.4,Africa
Mali,8.3,Africa
Chad,8.3,Africa
Liberia,8.2,Africa
Peru,8.1,South America
Oman,8,Middle East
El Salvador,7.9,Central America and the Caribbean
Haiti,7.7,Central America and the Caribbean
Eritrea,7.5,Africa
Niger,7.4,Africa
Cameroon,7.3,Africa
Senegal,6.9,Africa
Benin,6.9,Africa
Togo,6.8,Africa
Sao Tome and Principe,5.7,Africa
Turkmenistan,5.5,Central Asia
Ethiopia,5.1,Africa
Panama,5,Central America and the Caribbean
Nigeria,3.7,Africa
Ghana,3.5,Africa